"filename", "language", "vue", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\Submission.vue", "vue", 0, 0, 0, 0, 0, 1, 1
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\SubmissionsList.vue", "vue", 74, 0, 0, 0, 0, 8, 82
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\SubmitForm.vue", "vue", 93, 0, 0, 0, 0, 16, 109
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormQuestion.vue", "vue", 281, 0, 0, 0, 0, 37, 318
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormQuestionsAggregator.vue", "vue", 88, 0, 0, 0, 0, 13, 101
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormSettings.vue", "vue", 339, 0, 0, 0, 115, 45, 499
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormSubmissions.vue", "vue", 8, 0, 0, 0, 0, 0, 8
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\DetailedTextAnswerSettings.vue", "vue", 61, 0, 0, 0, 0, 4, 65
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\MultipleOptionsAnswerSettings.vue", "vue", 105, 0, 0, 0, 0, 7, 112
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\MultipleOptionsGridAnswerSettings.vue", "vue", 132, 0, 0, 0, 0, 7, 139
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\ShortTextAnswerSettings.vue", "vue", 125, 0, 0, 0, 0, 15, 140
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\SingleOptionAnswerSettings.vue", "vue", 102, 0, 0, 0, 0, 7, 109
